Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
01.02.2022 00:00:00;Burgenland;1;296010;1287;48262;6993;2362,42;1;413;753;39043
01.02.2022 00:00:00;Kärnten;2;562089;2271;116741;13096;2329,88;2;1125;1496;99635
01.02.2022 00:00:00;Niederösterreich;3;1690879;7571;315063;36516;2159,587;0;2187;4476;269055
01.02.2022 00:00:00;Oberösterreich;4;1495608;7185;360499;39246;2624,083;1;2396;3918;310952
01.02.2022 00:00:00;Salzburg;5;560710;2937;161339;15943;2843,359;0;820;2222;139910
01.02.2022 00:00:00;Steiermark;6;1247077;6630;224085;31549;2529,836;0;2544;3530;184286
01.02.2022 00:00:00;Tirol;7;760105;3557;203054;24672;3245,867;1;861;3757;170884
01.02.2022 00:00:00;Vorarlberg;8;399237;2046;93828;11972;2998,72;0;459;1491;75711
01.02.2022 00:00:00;Wien;9;1920949;10622;412470;54672;2846,093;6;2896;5718;265861
01.02.2022 00:00:00;Österreich;10;8932664;44106;1935341;234659;2626,977;11;13701;27361;1555337
02.02.2022 00:00:00;Burgenland;1;296010;1000;49262;6757;2282,693;0;413;778;39821
02.02.2022 00:00:00;Kärnten;2;562089;2251;118992;13246;2356,566;0;1125;1318;100953
02.02.2022 00:00:00;Niederösterreich;3;1690879;5240;320303;36336;2148,941;2;2189;4335;273390
02.02.2022 00:00:00;Oberösterreich;4;1495608;6420;366919;39384;2633,31;4;2400;3997;314949
02.02.2022 00:00:00;Salzburg;5;560710;2256;163595;15446;2754,722;1;821;1831;141741
02.02.2022 00:00:00;Steiermark;6;1247077;5102;229187;32307;2590,618;3;2547;3410;187696
02.02.2022 00:00:00;Tirol;7;760105;3607;206661;24263;3192,059;0;861;3100;173984
02.02.2022 00:00:00;Vorarlberg;8;399237;1318;95146;11742;2941,11;0;459;1553;77264
02.02.2022 00:00:00;Wien;9;1920949;6519;418989;53023;2760,25;7;2903;4672;270533
02.02.2022 00:00:00;Österreich;10;8932664;33713;1969054;232504;2602,852;17;13718;24994;1580331
03.02.2022 00:00:00;Burgenland;1;296010;1064;50326;6678;2256,005;0;413;720;40541
03.02.2022 00:00:00;Kärnten;2;562089;2130;121122;12971;2307,642;2;1127;1979;102932
03.02.2022 00:00:00;Niederösterreich;3;1690879;6066;326369;36683;2169,463;0;2189;4062;277452
03.02.2022 00:00:00;Oberösterreich;4;1495608;6733;373652;40097;2680,983;5;2405;4368;319317
03.02.2022 00:00:00;Salzburg;5;560710;2427;166022;15370;2741,167;1;822;1924;143665
03.02.2022 00:00:00;Steiermark;6;1247077;5385;234572;32338;2593,104;4;2551;3922;191618
03.02.2022 00:00:00;Tirol;7;760105;3776;210437;24436;3214,819;1;862;3834;177818
03.02.2022 00:00:00;Vorarlberg;8;399237;1954;97100;11571;2898,279;3;462;1869;79133
03.02.2022 00:00:00;Wien;9;1920949;7392;426381;51350;2673,158;6;2909;5089;275622
03.02.2022 00:00:00;Österreich;10;8932664;36927;2005981;231494;2591,545;22;13740;27767;1608098
04.02.2022 00:00:00;Burgenland;1;296010;1129;51455;6773;2288,098;1;414;873;41414
04.02.2022 00:00:00;Kärnten;2;562089;2835;123957;14018;2493,911;1;1128;1807;104739
04.02.2022 00:00:00;Niederösterreich;3;1690879;5334;331703;37170;2198,265;1;2190;5278;282730
04.02.2022 00:00:00;Oberösterreich;4;1495608;5209;378861;39440;2637,055;2;2407;4850;324167
04.02.2022 00:00:00;Salzburg;5;560710;2264;168286;15210;2712,632;1;823;2750;146415
04.02.2022 00:00:00;Steiermark;6;1247077;5072;239644;32795;2629,75;4;2555;4917;196535
04.02.2022 00:00:00;Tirol;7;760105;3333;213770;24433;3214,424;1;863;3129;180947
04.02.2022 00:00:00;Vorarlberg;8;399237;1856;98956;11628;2912,556;1;463;2043;81176
04.02.2022 00:00:00;Wien;9;1920949;6235;432616;49604;2582,265;4;2913;4848;280470
04.02.2022 00:00:00;Österreich;10;8932664;33267;2039248;231071;2586,81;16;13756;30495;1638593
05.02.2022 00:00:00;Burgenland;1;296010;1024;52479;6903;2332,016;1;415;761;42175
05.02.2022 00:00:00;Kärnten;2;562089;2578;126535;14904;2651,537;1;1129;1598;106337
05.02.2022 00:00:00;Niederösterreich;3;1690879;5363;337066;37979;2246,11;2;2192;4271;287001
05.02.2022 00:00:00;Oberösterreich;4;1495608;5451;384312;40098;2681,05;3;2410;4278;328445
05.02.2022 00:00:00;Salzburg;5;560710;1846;170132;15216;2713,702;1;824;2221;148636
05.02.2022 00:00:00;Steiermark;6;1247077;4225;243869;33046;2649,876;5;2560;4533;201068
05.02.2022 00:00:00;Tirol;7;760105;2895;216665;23883;3142,066;1;864;2683;183630
05.02.2022 00:00:00;Vorarlberg;8;399237;1266;100222;11365;2846,68;0;463;2035;83211
