Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Bregenz,Austria","02/26/2020",0.3,4.6,2.3,-2.0,75.67,,18.0,66.6,177.4,-3.9,5.01,30.0,,,0.0,1008.6,"Rain, Rain Showers",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","02/27/2020",2.8,4.5,3.8,-1.7,68.59,,21.5,27.7,129.5,-1.6,0.78,66.67,,,0.0,1000.6,"Rain, Rain Showers",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","02/27/2020",3.8,6.3,5.0,0.3,71.91,,21.7,79.2,195.75,-0.1,0.61,100.0,,,0.0,999.5,"Rain, Rain Showers",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","02/28/2020",5.1,5.8,5.5,-5.4,45.68,,7.2,33.5,249.5,3.5,0.0,0.0,,25.0,29.6,1023.2,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Partially cloudy"
"Bregenz,Austria","02/28/2020",6.3,8.6,7.3,-7.9,33.33,,25.1,30.1,152.5,2.5,0.0,0.0,,,0.0,1018.7,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","02/29/2020",9.4,14.3,12.1,-2.2,37.52,,25.1,50.4,168.5,,0.0,0.0,,,0.0,1000.5,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","02/29/2020",8.7,12.8,10.7,1.0,55.61,,21.5,61.2,245.0,,0.0,50.0,,,0.0,1004.0,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/01/2020",10.8,13.1,12.0,2.6,53.23,,10.8,25.9,273.5,,0.0,0.0,,27.0,2.5,1000.6,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/01/2020",5.8,13.5,9.8,2.2,61.28,,14.5,54.0,203.0,2.9,0.81,16.67,,,0.0,998.2,"Rain",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/02/2020",5.6,11.6,9.5,0.6,57.0,,17.9,70.6,125.6,4.1,6.01,30.0,,25.0,9.9,988.6,"Rain",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/03/2020",3.4,6.8,5.3,-1.6,61.64,,7.8,38.9,150.0,1.5,0.43,33.33,,12.0,16.4,1006.2,"Rain, Rain Showers, Light Rain",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/03/2020",2.0,5.3,2.9,-0.3,79.64,,7.2,27.7,82.0,3.8,0.0,0.0,,,0.0,1008.8,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/04/2020",6.3,6.6,6.4,-1.5,56.84,,7.2,24.1,181.0,5.2,0.0,0.0,,18.0,39.5,1015.7,"Sky Coverage Increasing",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Partially cloudy"
"Bregenz,Austria","03/04/2020",3.8,7.8,6.1,-1.8,57.86,,10.7,18.4,192.5,2.9,0.0,0.0,,,0.0,1013.8,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/05/2020",6.1,9.1,7.6,3.0,73.37,,17.9,44.6,112.38,3.8,3.29,100.0,,5.0,12.3,996.7,"Rain, Rain Showers, Light Rain",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/05/2020",6.7,8.3,7.5,4.9,84.14,,7.3,48.2,255.0,5.3,0.11,100.0,,,0.0,996.2,"Rain",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/06/2020",6.8,7.5,7.3,-1.2,55.02,,7.3,66.6,212.75,5.5,0.0,0.0,,20.0,24.7,1002.1,"Sky Coverage Increasing",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/06/2020",4.6,6.8,5.9,-0.8,62.5,,10.9,61.2,195.83,2.1,0.3,16.67,,,0.0,1006.8,"Rain",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/07/2020",2.2,6.0,4.2,0.3,76.1,,14.2,31.7,158.8,-0.9,0.78,70.0,,10.0,9.9,1022.9,"Heavy Drizzle/Rain, Rain, Rain Showers",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/08/2020",7.6,9.5,8.9,-2.4,45.0,,7.2,13.0,274.33,6.4,0.0,0.0,,25.0,4.9,1019.4,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/08/2020",5.0,7.6,5.9,0.4,67.84,,7.2,13.0,81.5,3.4,0.0,0.0,,,0.0,1016.7,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/09/2020",5.3,7.1,6.2,3.1,80.78,,7.2,33.5,140.5,3.8,2.11,100.0,,,0.0,1018.0,"Rain",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/09/2020",4.6,8.0,6.3,3.4,81.69,,10.7,38.9,129.88,3.0,3.7,87.5,,,0.0,1019.3,"Rain",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/10/2020",3.5,4.8,4.1,2.8,91.45,,21.4,44.6,130.13,-0.1,22.63,100.0,,5.0,12.3,1019.4,"Rain",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/10/2020",5.0,5.6,5.3,4.0,91.39,,17.9,51.8,126.0,1.4,1.3,100.0,,,0.0,1020.5,"Rain, Rain Showers",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Rain"
"Bregenz,Austria","03/11/2020",11.8,16.0,13.5,8.0,69.53,,11.6,,150.5,,0.0,0.0,,30.0,22.3,1020.6,"Sky Coverage Increasing",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/11/2020",13.6,16.1,14.8,7.4,61.26,,14.4,46.4,150.83,,0.0,0.0,,,0.0,1019.5,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/12/2020",12.1,14.1,13.4,7.8,68.98,,10.8,40.7,281.7,,0.0,0.0,,25.0,8.9,1015.7,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/13/2020",8.1,10.8,10.1,-0.2,49.22,,14.4,33.5,179.0,6.3,0.0,0.0,,15.0,6.6,1022.3,"Rain, Sky Coverage Decreasing",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/13/2020",4.1,10.1,6.4,-0.1,64.46,,7.2,33.5,98.0,3.4,0.0,0.0,,,0.0,1022.3,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/14/2020",6.1,7.6,6.9,-0.4,59.79,,7.2,,239.5,6.5,0.0,0.0,,,0.0,1022.0,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/14/2020",6.8,8.5,7.8,0.1,58.54,,10.7,20.5,147.0,5.1,0.0,0.0,,,0.0,1022.1,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
"Bregenz,Austria","03/15/2020",8.6,14.1,11.9,-0.7,43.43,,7.2,16.6,318.75,,0.0,0.0,,,0.0,1016.7,"",47.50379,9.74367,"Bregenz, Vorarlberg, Österreich","Bregenz, Vorarlberg, Österreich","","Clear"
