Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Eisenstadt,Austria","02/26/2020",4.2,7.1,6.2,-3.4,50.5,,25.2,72.0,276.0,-0.6,0.0,0.0,,13.0,29.6,1000.5,"",47.84558,16.51892,"Eisenstadt, Burgenland, Österreich","Eisenstadt, Burgenland, Österreich","","Partially cloudy"
"Eisenstadt,Austria","02/27/2020",6.7,8.5,7.8,-5.5,38.65,,18.0,57.6,226.67,3.9,0.0,0.0,,13.3,11.6,1006.3,"",47.84558,16.51892,"Eisenstadt, Burgenland, Österreich","Eisenstadt, Burgenland, Österreich","","Clear"
"Eisenstadt,Austria","02/27/2020",5.1,5.7,5.3,-4.9,47.87,,18.0,57.6,127.5,1.4,0.0,0.0,,11.3,19.7,999.7,"",47.84558,16.51892,"Eisenstadt, Burgenland, Österreich","Eisenstadt, Burgenland, Österreich","","Clear"
"Eisenstadt,Austria","02/28/2020",6.5,7.1,6.8,-2.8,50.23,,21.7,74.5,300.0,2.8,0.0,0.0,,15.0,44.6,1014.9,"Rain Showers",47.84558,16.51892,"Eisenstadt, Burgenland, Österreich","Eisenstadt, Burgenland, Österreich","","Partially cloudy"
"Eisenstadt,Austria","02/28/2020",3.5,6.6,5.0,-2.9,56.78,,32.5,73.3,282.63,-0.8,1.2,37.5,,12.5,1.3,1018.5,"Snow And Rain Showers, Precipitation In Vicinity, Rain, Rain Showers, Sky Coverage Increasing",47.84558,16.51892,"Eisenstadt, Burgenland, Österreich","Eisenstadt, Burgenland, Österreich","","Rain"
"Eisenstadt,Austria","02/29/2020",8.6,11.5,10.0,-5.5,33.26,,25.2,54.0,137.63,6.4,0.0,0.0,,13.1,30.9,1006.0,"Sky Coverage Decreasing, Sky Coverage Increasing",47.84558,16.51892,"Eisenstadt, Burgenland, Österreich","Eisenstadt, Burgenland, Österreich","","Partially cloudy"
"Eisenstadt,Austria","02/29/2020",7.6,8.0,7.8,-2.4,48.42,,14.5,,70.5,5.6,0.0,0.0,,10.0,0.0,1002.5,"",47.84558,16.51892,"Eisenstadt, Burgenland, Österreich","Eisenstadt, Burgenland, Österreich","","Clear"
"Eisenstadt,Austria","03/01/2020",7.6,8.2,7.9,0.9,61.55,,14.3,,80.0,5.1,0.0,0.0,,12.5,22.2,1006.1,"",47.84558,16.51892,"Eisenstadt, Burgenland, Österreich","Eisenstadt, Burgenland, Österreich","","Clear"
"Eisenstadt,Austria","03/01/2020",8.2,8.7,8.6,4.6,76.49,,17.9,28.8,83.83,5.7,0.4,33.33,,14.0,16.5,1003.2,"Rain, Rain Showers, Light Rain",47.84558,16.51892,"Eisenstadt, Burgenland, Österreich","Eisenstadt, Burgenland, Österreich","","Rain"
"Eisenstadt,Austria","03/02/2020",11.6,14.5,13.0,1.9,47.57,,21.6,46.8,156.1,,0.0,0.0,,12.5,20.8,997.5,"",47.84558,16.51892,"Eisenstadt, Burgenland, Österreich","Eisenstadt, Burgenland, Österreich","","Clear"
