Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Innsbruck,Austria","02/26/2020",-0.4,6.3,2.6,-6.7,52.21,,51.9,93.8,280.1,-7.4,0.26,40.0,,9.1,28.8,1003.9,"Snow Showers, Rain",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Rain, Partially cloudy"
"Innsbruck,Austria","02/27/2020",0.3,4.2,2.7,-6.2,53.05,,29.9,129.6,225.0,-4.9,0.72,33.33,,10.0,40.9,1003.7,"Light Snow, Rain",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Rain, Partially cloudy"
"Innsbruck,Austria","02/27/2020",-0.7,-0.2,-0.5,-1.8,90.62,,29.5,142.0,259.25,-6.8,1.58,100.0,,8.3,39.9,1000.9,"Snow Showers, Light Snow, Rain, Rain Showers",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Rain, Partially cloudy"
"Innsbruck,Austria","02/28/2020",3.4,4.7,4.0,-6.1,47.75,,26.4,64.8,326.0,0.0,0.0,0.0,,10.0,22.2,1022.4,"Rain",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Clear"
"Innsbruck,Austria","02/28/2020",-0.9,5.2,2.5,-7.0,51.38,,14.5,64.8,258.38,-3.0,0.0,0.0,,10.0,12.7,1021.4,"",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Clear"
"Innsbruck,Austria","02/29/2020",7.7,9.6,8.9,-7.2,31.39,,41.8,118.8,151.13,2.9,0.0,0.0,,10.0,18.8,1005.7,"Rain",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Clear"
"Innsbruck,Austria","02/29/2020",7.4,7.6,7.5,-6.0,37.93,,34.8,115.2,151.5,2.8,0.0,0.0,,10.0,26.6,1006.2,"",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Partially cloudy"
"Innsbruck,Austria","03/01/2020",7.3,11.4,9.3,1.4,57.96,,14.8,75.6,256.0,5.3,0.0,0.0,,10.0,13.3,1001.8,"",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Clear"
"Innsbruck,Austria","03/01/2020",4.8,11.5,8.3,1.4,62.34,,15.9,75.6,138.67,1.3,0.0,0.0,,10.0,34.0,998.2,"",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Partially cloudy"
"Innsbruck,Austria","03/02/2020",6.5,9.3,8.4,-0.9,52.53,,36.3,122.4,93.7,2.5,0.0,0.0,,10.0,26.6,991.0,"Rain",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Partially cloudy"
"Innsbruck,Austria","03/03/2020",2.6,6.2,4.1,-2.3,63.65,,18.9,61.2,148.67,-1.4,0.15,33.33,,10.0,39.9,1004.6,"Rain, Rain Showers",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Rain, Partially cloudy"
"Innsbruck,Austria","03/03/2020",1.1,2.1,1.6,-1.7,79.18,,19.3,61.2,247.5,-2.6,0.41,50.0,,10.0,39.9,1009.0,"Rain, Rain Showers",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Rain, Partially cloudy"
"Innsbruck,Austria","03/04/2020",5.5,5.7,5.6,-3.5,52.26,,9.0,,195.0,3.7,0.0,0.0,,10.0,31.0,1014.5,"",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Partially cloudy"
"Innsbruck,Austria","03/04/2020",-0.3,5.9,3.4,-4.9,55.86,,13.0,,212.25,2.7,0.0,0.0,,10.0,24.4,1014.3,"Rain",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Clear"
"Innsbruck,Austria","03/05/2020",2.9,6.6,4.5,-1.1,68.54,,35.1,117.3,241.63,-2.6,0.27,25.0,,10.0,39.9,1002.2,"Rain, Rain Showers, Light Rain",47.268,11.3913,"Innsbruck, Tirol, Österreich","Innsbruck, Tirol, Österreich","","Rain, Partially cloudy"
