Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Klagenfurt,Austria","02/26/2020",0.1,1.0,0.6,-0.1,94.99,,10.0,19.8,152.6,-2.8,16.58,40.0,,7.9,18.0,1003.3,"Heavy Snow, Mist, Light Snow, Rain, Light Rain And Snow, Rain Showers, Light Rain, Sky Coverage Increasing, Snow",46.6206,14.3104,"Klagenfurt am Wörthersee, Kärnten, Österreich","Klagenfurt am Wörthersee, Kärnten, Österreich","","Rain"
"Klagenfurt,Austria","02/27/2020",4.4,6.1,5.4,-2.3,58.31,,13.9,30.2,153.33,2.8,0.0,0.0,,10.5,12.1,1007.5,"",46.6206,14.3104,"Klagenfurt am Wörthersee, Kärnten, Österreich","Klagenfurt am Wörthersee, Kärnten, Österreich","","Clear"
"Klagenfurt,Austria","02/27/2020",3.4,5.5,4.5,-7.7,41.03,,11.2,23.8,239.5,1.4,0.0,0.0,,10.6,4.2,1002.6,"",46.6206,14.3104,"Klagenfurt am Wörthersee, Kärnten, Österreich","Klagenfurt am Wörthersee, Kärnten, Österreich","","Clear"
"Klagenfurt,Austria","02/28/2020",7.1,7.6,7.3,-11.8,24.34,,33.0,64.8,325.5,3.2,0.0,0.0,,10.6,4.2,1017.4,"",46.6206,14.3104,"Klagenfurt am Wörthersee, Kärnten, Österreich","Klagenfurt am Wörthersee, Kärnten, Österreich","","Clear"
"Klagenfurt,Austria","02/28/2020",-0.7,7.6,4.3,-10.4,35.86,,23.0,64.7,263.63,-3.1,0.0,0.0,,10.5,2.1,1021.1,"",46.6206,14.3104,"Klagenfurt am Wörthersee, Kärnten, Österreich","Klagenfurt am Wörthersee, Kärnten, Österreich","","Clear"
"Klagenfurt,Austria","02/29/2020",4.5,10.9,8.7,-5.8,35.46,,21.4,46.8,163.63,5.9,0.0,0.0,,10.6,4.3,1010.7,"",46.6206,14.3104,"Klagenfurt am Wörthersee, Kärnten, Österreich","Klagenfurt am Wörthersee, Kärnten, Österreich","","Clear"
"Klagenfurt,Austria","02/29/2020",7.6,7.9,7.7,-6.7,35.2,,7.0,25.2,258.0,6.4,0.0,0.0,,10.6,4.1,1009.3,"",46.6206,14.3104,"Klagenfurt am Wörthersee, Kärnten, Österreich","Klagenfurt am Wörthersee, Kärnten, Österreich","","Clear"
"Klagenfurt,Austria","03/01/2020",10.0,11.7,10.8,2.4,56.28,,4.2,18.7,235.5,,0.0,0.0,,10.0,8.3,1005.3,"Rain, Rain Showers, Light Rain",46.6206,14.3104,"Klagenfurt am Wörthersee, Kärnten, Österreich","Klagenfurt am Wörthersee, Kärnten, Österreich","","Clear"
"Klagenfurt,Austria","03/01/2020",6.1,10.1,7.6,4.8,83.02,,10.3,13.0,292.67,5.5,2.1,66.67,,9.6,13.1,1003.2,"Rain, Heavy Rain And Snow, Light Rain And Snow, Rain Showers, Light Rain",46.6206,14.3104,"Klagenfurt am Wörthersee, Kärnten, Österreich","Klagenfurt am Wörthersee, Kärnten, Österreich","","Rain"
"Klagenfurt,Austria","03/02/2020",6.1,10.3,8.2,3.8,74.87,,13.9,28.8,252.3,4.8,4.88,40.0,,9.3,11.3,999.5,"Drizzle, Rain, Rain Showers, Light Rain",46.6206,14.3104,"Klagenfurt am Wörthersee, Kärnten, Österreich","Klagenfurt am Wörthersee, Kärnten, Österreich","","Rain"
