Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"StPoelten,Austria","02/26/2020",2.1,7.4,4.6,-1.3,66.43,,32.2,85.5,220.8,-3.9,0.2,20.0,,15.0,28.4,1001.5,"Rain, Rain Showers",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Rain, Partially cloudy"
"StPoelten,Austria","02/27/2020",5.0,7.2,6.0,-4.1,48.72,,18.0,64.8,175.0,1.3,0.0,0.0,,30.0,27.2,1005.8,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Partially cloudy"
"StPoelten,Austria","02/27/2020",4.5,5.4,4.9,-4.6,50.41,,10.8,64.8,81.75,2.8,0.0,0.0,,5.0,23.7,997.5,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Clear"
"StPoelten,Austria","02/28/2020",3.1,3.9,3.5,0.6,81.26,,18.2,82.8,218.5,-1.1,0.23,50.0,,30.0,47.3,1017.6,"Rain, Rain Showers",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Rain, Partially cloudy"
"StPoelten,Austria","02/28/2020",0.0,4.0,2.3,-1.2,78.11,,31.7,86.4,227.13,-2.9,0.48,25.0,,30.0,9.5,1020.6,"Rain",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Rain"
"StPoelten,Austria","02/29/2020",3.8,7.6,6.2,-2.2,55.1,,7.4,,172.25,1.9,0.0,0.0,,15.0,35.5,1005.2,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Partially cloudy"
"StPoelten,Austria","02/29/2020",4.1,4.7,4.4,-0.4,71.12,,7.3,,174.5,3.0,0.0,0.0,,,0.0,1003.2,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Clear"
"StPoelten,Austria","03/01/2020",7.6,9.6,8.5,3.0,68.27,,14.1,,209.75,5.1,0.0,0.0,,30.0,23.7,1005.7,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Clear"
"StPoelten,Austria","03/01/2020",6.1,10.5,8.3,2.8,69.07,,10.7,,157.67,3.9,0.0,0.0,,20.0,28.4,1001.9,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Partially cloudy"
"StPoelten,Austria","03/02/2020",9.1,12.9,11.3,2.1,53.32,,11.1,64.8,140.3,,0.0,0.0,,21.7,13.3,995.5,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Clear"
"StPoelten,Austria","03/03/2020",5.1,7.9,6.3,1.8,73.0,,35.3,66.6,221.17,0.3,0.04,16.67,,20.0,28.4,1003.3,"Rain, Rain Showers",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Rain, Partially cloudy"
"StPoelten,Austria","03/03/2020",4.7,5.0,4.9,0.5,72.93,,24.6,66.6,221.75,0.5,0.0,0.0,,5.0,23.7,1007.1,"Rain, Rain Showers",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Clear"
"StPoelten,Austria","03/04/2020",7.4,7.9,7.7,0.4,60.0,,24.6,,228.0,3.7,0.0,0.0,,20.0,47.3,1013.5,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Partially cloudy"
"StPoelten,Austria","03/04/2020",4.0,8.4,6.2,-0.5,62.58,,21.2,54.0,228.25,1.3,0.0,0.0,,30.0,18.9,1013.7,"Rain",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Clear"
"StPoelten,Austria","03/05/2020",9.0,13.8,11.7,-4.9,31.93,,14.4,,102.13,8.0,0.0,0.0,,20.0,5.9,1001.0,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Clear"
"StPoelten,Austria","03/05/2020",7.5,8.0,7.7,-1.6,51.76,,7.4,,66.5,6.2,0.0,0.0,,,0.0,997.1,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Clear"
"StPoelten,Austria","03/06/2020",9.0,10.5,9.8,4.8,71.49,,10.8,57.6,212.0,7.9,0.09,25.0,,20.0,23.7,998.1,"Rain",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Rain"
"StPoelten,Austria","03/06/2020",7.4,11.0,9.1,2.0,61.68,,14.2,64.8,216.83,5.4,0.0,0.0,,12.5,31.6,1000.9,"",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Partially cloudy"
"StPoelten,Austria","03/07/2020",4.5,8.4,5.9,1.6,74.62,,31.7,70.2,243.3,0.4,1.76,50.0,,23.3,26.5,1017.9,"Rain, Rain Showers",48.20755,15.62002,"Sankt Pölten, Niederösterreich, Österreich","Sankt Pölten, Niederösterreich, Österreich","","Rain, Partially cloudy"
