Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Vienna,Austria","02/26/2020",4.1,7.8,6.7,-2.7,51.6,,29.7,64.9,266.0,-1.1,0.0,0.0,,47.8,8.6,1000.5,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","02/27/2020",7.2,8.3,7.9,-5.6,37.89,,21.6,54.0,223.33,3.6,0.0,0.0,,57.6,0.2,1006.1,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","02/27/2020",6.3,7.1,6.7,-5.3,41.96,,21.6,54.0,137.5,2.6,0.0,0.0,,48.0,0.3,999.0,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","02/28/2020",6.6,6.6,6.6,-3.0,50.21,,32.4,72.0,305.0,2.0,0.0,0.0,,44.6,0.3,1015.0,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","02/28/2020",3.8,6.8,5.3,-3.2,54.37,,28.8,71.9,278.75,0.4,0.33,37.5,,39.4,0.2,1019.0,"Snow And Rain Showers, Rain, Rain Showers, Sky Coverage Decreasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Rain"
"Vienna,Austria","02/29/2020",6.6,10.8,9.5,-4.6,37.11,,18.0,,122.5,7.0,0.0,0.0,,46.3,0.3,1005.7,"Rain, Light Rain",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","02/29/2020",8.6,9.3,9.0,-1.8,46.93,,7.2,,80.0,8.4,0.0,0.0,,42.3,0.2,1002.7,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/01/2020",10.0,10.3,10.2,1.4,54.61,,7.2,,112.5,,0.0,0.0,,37.7,0.4,1005.8,"Sky Coverage Increasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/01/2020",8.8,10.3,9.3,4.0,69.92,,18.0,,113.33,6.8,0.0,0.0,,25.8,0.3,1003.0,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/02/2020",12.6,15.1,13.5,0.6,41.96,,25.2,54.0,165.0,,0.0,0.0,,49.2,0.3,996.8,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/03/2020",7.1,9.3,8.3,1.2,60.76,,28.8,61.2,270.0,3.0,4.0,16.67,,49.2,0.3,1001.9,"Sky Coverage Decreasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Rain"
"Vienna,Austria","03/03/2020",6.3,6.8,6.6,0.0,62.79,,21.6,61.2,275.0,2.6,0.0,0.0,,44.6,0.2,1005.8,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/04/2020",8.9,9.2,9.0,-3.7,40.51,,21.6,50.4,315.0,6.2,0.0,0.0,,46.9,0.2,1012.5,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/04/2020",6.3,9.7,8.0,-1.8,51.2,,21.6,50.4,282.5,4.1,0.0,0.0,,42.3,0.2,1013.0,"Precipitation In Vicinity, Rain, Rain Showers",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/05/2020",9.1,12.5,11.1,-3.3,36.69,,25.2,54.0,146.25,5.8,0.0,0.0,,49.2,0.1,1003.4,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/05/2020",8.0,8.5,8.3,-1.1,51.41,,28.8,61.2,140.0,4.1,0.0,0.0,,46.9,0.2,999.3,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/06/2020",9.1,12.1,10.7,5.0,68.8,,10.8,,197.5,7.5,4.0,25.0,,36.5,0.4,998.4,"Sky Coverage Increasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Rain"
"Vienna,Austria","03/06/2020",10.5,12.1,11.1,2.9,57.51,,10.8,,218.5,,0.0,0.0,,35.4,0.3,1000.8,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/07/2020",6.6,8.8,8.1,0.2,57.3,,25.2,57.6,288.0,3.9,0.3,20.0,,40.4,0.3,1016.5,"Rain, Rain Showers, Sky Coverage Increasing",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Rain"
"Vienna,Austria","03/08/2020",8.2,9.6,9.0,-3.8,40.31,,18.0,,308.33,5.7,0.0,0.0,,54.6,0.2,1020.5,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/08/2020",6.8,9.3,8.3,-2.6,46.45,,7.2,,210.0,8.4,0.0,0.0,,41.1,0.1,1018.8,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/09/2020",8.3,9.6,9.0,-2.0,45.94,,3.6,,124.5,,0.0,0.0,,27.5,0.3,1013.8,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/09/2020",8.8,11.3,10.1,3.0,61.93,,18.0,,282.5,6.1,0.0,0.0,,34.8,0.3,1014.3,"",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/10/2020",10.8,13.0,12.1,-0.9,40.83,,25.1,54.0,270.0,,0.0,0.0,,49.8,0.3,1014.1,"Rain",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/10/2020",9.6,10.0,9.8,3.1,62.93,,14.5,50.4,240.0,7.6,0.0,0.0,,23.8,0.4,1013.7,"Rain Showers, Light Rain",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/11/2020",16.1,17.5,17.1,7.7,53.9,,32.4,,277.5,,0.0,0.0,,34.2,0.3,1013.3,"Rain, Light Rain",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
"Vienna,Austria","03/11/2020",15.3,16.5,15.9,7.7,58.17,,21.7,79.2,261.67,,0.0,0.0,,36.1,0.3,1016.1,"Rain, Light Rain",48.2026,16.3684,"Wien, Österreich","Wien, Österreich","","Clear"
